time,commits
2009-07-31,1
2009-08-05,7
2009-09-01,10
2009-09-02,12
2009-09-03,21
2009-09-04,22
2009-09-09,23
2009-09-11,24
2009-09-19,29
2009-10-10,30
2009-10-11,33
2009-10-22,34
2009-11-20,35
2009-11-21,47
2009-11-23,53
2009-11-24,58
2009-11-26,59
2009-12-01,60
2009-12-02,67
2009-12-03,72
2009-12-04,74
2009-12-06,76
2009-12-07,80
2009-12-08,82
2009-12-09,83
2009-12-10,84
2009-12-15,85
2009-12-17,87
2009-12-19,91
2009-12-22,93
2009-12-24,94
2009-12-25,96
2009-12-26,97
2009-12-31,100
2010-01-04,101
2010-01-05,106
2010-01-06,107
2010-01-09,109
2010-01-10,112
2010-01-12,114
2010-01-13,117
2010-01-21,120
2010-01-26,121
2010-02-02,122
2010-02-05,123
2010-02-18,126
2010-02-23,127
2010-02-25,128
2010-02-26,131
2010-03-01,133
2010-03-02,136
2010-03-09,138
2010-03-11,140
2010-03-20,141
2010-03-21,142
2010-03-23,144
2010-03-24,147
2010-03-26,148
2010-03-31,149
2010-04-03,150
2010-04-05,152
2010-04-09,153
2010-04-11,154
2010-04-12,157
2010-04-16,158
2010-04-19,159
2010-04-21,160
2010-04-23,161
2010-04-27,163
2010-04-29,164
2010-05-04,165
2010-05-07,166
2010-05-10,167
2010-05-17,168
2010-05-18,170
2010-05-22,171
2010-05-23,172
2010-05-24,173
2010-05-26,178
2010-05-27,179
2010-05-28,183
2010-05-31,184
2010-06-01,185
2010-06-04,187
2010-06-06,189
2010-06-07,191
2010-06-08,193
2010-06-09,194
2010-06-11,195
2010-06-21,197
2010-07-14,198
2010-07-16,199
2010-08-30,200
2010-09-01,201
2010-09-19,203
2010-09-20,204
2010-09-27,205
2010-10-01,211
2010-10-12,219
2010-10-15,221
2010-11-08,222
2010-11-22,228
2010-11-24,229
2010-12-11,237
2010-12-16,244
2010-12-17,245
2010-12-24,246
2010-12-31,247
2011-01-03,252
2011-01-04,256
2011-01-05,259
2011-01-10,260
2011-01-11,263
2011-01-12,265
2011-01-20,267
2011-01-21,270
2011-01-27,271
2011-02-01,273
2011-02-02,275
2011-02-18,276
2011-02-19,284
2011-02-20,289
2011-02-24,290
2011-02-28,292
2011-03-04,293
2011-03-06,294
2011-03-09,297
2011-03-11,298
2011-03-16,299
2011-03-18,301
2011-03-19,303
2011-03-22,305
2011-04-17,310
2011-04-18,317
2011-04-19,318
2011-04-20,319
2011-04-21,320
2011-04-22,322
2011-04-26,323
2011-05-01,324
2011-05-02,325
2011-05-03,326
2011-05-06,330
2011-05-08,332
2011-05-12,335
2011-05-13,337
2011-05-14,339
2011-05-15,340
2011-05-16,341
2011-05-17,347
2011-05-18,349
2011-05-20,350
2011-05-25,352
2011-05-26,356
2011-05-27,357
2011-05-29,359
2011-05-30,362
2011-05-31,368
2011-06-02,369
2011-06-03,370
2011-06-05,372
2011-06-06,375
2011-06-07,383
2011-06-08,388
2011-06-09,391
2011-06-10,401
2011-06-11,406
2011-06-12,413
2011-06-13,428
2011-06-14,442
2011-06-16,443
2011-06-21,448
2011-06-22,456
2011-06-23,472
2011-06-24,473
2011-06-25,478
2011-06-27,492
2011-06-28,507
2011-06-29,514
2011-06-30,517
2011-07-01,524
2011-07-02,526
2011-07-03,534
2011-07-04,535
2011-07-06,537
2011-07-07,540
2011-07-08,543
2011-07-09,546
2011-07-11,547
2011-07-12,549
2011-07-13,551
2011-07-14,559
2011-07-15,563
2011-07-16,566
2011-07-17,568
2011-07-18,569
2011-07-19,570
2011-07-20,582
2011-07-22,588
2011-07-23,590
2011-07-24,602
2011-07-25,612
2011-07-26,614
2011-07-27,619
2011-07-28,624
2011-07-29,630
2011-07-30,637
2011-07-31,644
2011-08-01,647
2011-08-06,648
2011-08-07,649
2011-08-08,652
2011-08-09,658
2011-08-10,665
2011-08-11,671
2011-08-12,673
2011-08-13,675
2011-08-14,676
2011-08-15,678
2011-08-16,687
2011-08-17,697
2011-08-19,704
2011-08-20,708
2011-08-21,710
2011-08-22,726
2011-08-23,733
2011-08-24,739
2011-08-25,752
2011-08-26,754
2011-08-27,757
2011-08-28,759
2011-08-29,764
2011-08-30,769
2011-08-31,776
2011-09-01,783
2011-09-02,791
2011-09-03,792
2011-09-04,795
2011-09-05,804
2011-09-06,820
2011-09-07,826
2011-09-08,835
2011-09-09,845
2011-09-10,850
2011-09-11,852
2011-09-12,863
2011-09-13,867
2011-09-14,871
2011-09-15,872
2011-09-16,875
2011-09-17,876
2011-09-18,877
2011-09-20,880
2011-09-21,882
2011-09-22,891
2011-09-23,895
2011-09-24,899
2011-09-25,911
2011-09-26,921
2011-09-27,925
2011-09-28,936
2011-09-29,941
2011-09-30,946
2011-10-01,952
2011-10-02,961
2011-10-03,968
2011-10-05,974
2011-10-06,983
2011-10-07,989
2011-10-08,993
2011-10-09,1016
2011-10-10,1022
2011-10-11,1025
2011-10-12,1037
2011-10-13,1040
2011-10-14,1054
2011-10-15,1063
2011-10-16,1071
2011-10-17,1075
2011-10-18,1081
2011-10-19,1095
2011-10-20,1105
2011-10-21,1122
2011-10-22,1136
2011-10-23,1142
2011-10-24,1161
2011-10-25,1169
2011-10-26,1173
2011-10-28,1176
2011-10-31,1177
2011-11-02,1185
2011-11-03,1192
2011-11-04,1205
2011-11-05,1210
2011-11-06,1211
2011-11-07,1221
2011-11-08,1229
2011-11-09,1230
2011-11-10,1236
2011-11-11,1242
2011-11-12,1243
2011-11-13,1260
2011-11-14,1270
2011-11-15,1271
2011-11-16,1278
2011-11-17,1281
2011-11-18,1292
2011-11-19,1293
2011-11-22,1306
2011-11-23,1311
2011-11-24,1314
2011-11-25,1322
2011-11-26,1323
2011-11-28,1324
2011-11-29,1325
2011-11-30,1328
2011-12-01,1329
2011-12-02,1339
2011-12-03,1343
2011-12-04,1344
2011-12-05,1349
2011-12-06,1355
2011-12-07,1359
2011-12-08,1365
2011-12-09,1369
2011-12-10,1372
2011-12-11,1378
2011-12-12,1398
2011-12-13,1421
2011-12-14,1423
2011-12-15,1431
2011-12-16,1436
2011-12-17,1439
2011-12-18,1445
2011-12-19,1448
2011-12-20,1457
2011-12-21,1476
2011-12-22,1486
2011-12-23,1495
2011-12-24,1502
2011-12-25,1505
2011-12-26,1513
2011-12-27,1515
2011-12-28,1528
2011-12-29,1545
2011-12-30,1559
2011-12-31,1575
2012-01-02,1593
2012-01-03,1607
2012-01-04,1613
2012-01-05,1632
2012-01-06,1650
2012-01-07,1658
2012-01-08,1662
2012-01-09,1674
2012-01-10,1695
2012-01-11,1700
2012-01-12,1716
2012-01-13,1724
2012-01-14,1725
2012-01-15,1728
2012-01-16,1749
2012-01-17,1759
2012-01-18,1765
2012-01-19,1778
2012-01-20,1800
2012-01-21,1810
2012-01-22,1817
2012-01-23,1825
2012-01-24,1842
2012-01-25,1862
2012-01-26,1873
2012-01-27,1884
2012-01-28,1887
2012-01-29,1891
2012-01-30,1895
2012-01-31,1906
2012-02-01,1918
2012-02-02,1923
2012-02-03,1933
2012-02-04,1943
2012-02-05,1960
2012-02-06,1966
2012-02-07,1983
2012-02-08,2003
2012-02-09,2036
2012-02-10,2040
2012-02-11,2041
2012-02-12,2042
2012-02-13,2049
2012-02-14,2055
2012-02-15,2058
2012-02-16,2063
2012-02-17,2072
2012-02-18,2098
2012-02-19,2100
2012-02-20,2110
2012-02-21,2124
2012-02-22,2136
2012-02-23,2148
2012-02-24,2162
2012-02-26,2166
2012-02-27,2172
