time,commits
2012-01-25,9
2012-01-30,11
2012-01-31,15
2012-02-01,30
2012-02-02,32
2012-02-03,38
2012-02-04,40
2012-02-05,44
2012-02-06,45
2012-02-07,48
2012-02-08,49
2012-02-09,51
2012-02-10,55
2012-02-13,60
2012-02-16,64
2012-02-19,65
2012-02-21,72
2012-02-23,76
2012-02-25,83
2012-02-26,87
2012-02-27,89
2012-02-28,98
2012-02-29,102
2012-03-01,110
2012-03-03,118
2012-03-05,130
2012-03-06,134
2012-03-07,143
2012-03-12,144
2012-03-13,149
2012-03-29,153
2012-04-03,154
2012-04-04,158
2012-04-08,162
2012-04-10,163
2012-04-12,164
2012-05-03,172
2012-05-06,173
2012-05-16,185
2012-06-05,193
2012-06-13,194
2012-07-07,195
2012-07-17,196
2012-07-20,197
2012-07-30,198
2012-07-31,199
2012-08-09,207
2012-08-13,214
2012-08-16,220
2012-08-23,221
2012-08-24,223
2012-08-31,224
2012-09-04,231
2012-09-05,234
2012-09-06,236
2012-09-12,237
2012-09-13,238
2012-09-19,240
2012-09-23,242
2012-09-26,246
2012-09-27,248
2012-09-28,257
2012-09-29,258
2012-10-03,259
2012-10-20,261
2012-10-22,266
2012-10-25,267
2012-10-27,268
2012-10-31,269
2012-11-19,270
2012-11-27,271
2012-11-29,272
2012-12-03,277
2012-12-07,280
2012-12-08,282
2012-12-09,288
2012-12-10,293
2012-12-12,301
2012-12-20,302
2012-12-21,303
2012-12-24,304
2013-01-03,305
2013-01-08,309
2013-01-09,311
2013-02-06,319
2013-02-11,320
2013-02-12,323
2013-02-13,326
2013-02-14,327
2013-03-26,333
2013-03-31,334
2013-04-05,339
2013-04-11,349
2013-04-14,358
2013-04-15,362
2013-05-01,364
2013-05-04,365
2013-05-10,373
2013-05-11,374
2013-05-15,379
2013-05-19,381
2013-05-20,382
2013-05-21,385
2013-05-22,386
2013-06-11,387
2013-06-13,393
2013-06-23,397
2013-06-24,406
2013-06-26,410
2013-07-10,414
2013-07-11,422
2013-07-14,430
2013-07-20,432
2013-07-21,433
2013-07-22,437
2013-07-23,441
2013-07-24,442
2013-08-14,450
2013-08-22,458
2013-09-06,459
2013-09-11,460
2013-09-20,461
2013-10-07,465
2013-10-08,482
2013-10-15,483
2013-10-16,506
2013-10-17,512
