id,company,count,total,update_time,duplicate,flag
1,"Alibaba,INC",796,22968,"2022-11-20 17:59:24.000000",0,0
2,Anduril,311,22968,"2022-11-20 17:59:24.000000",0,0
3,Facebook,7040,22968,"2022-11-20 17:59:24.000000",0,0
4,FacebookAI,698,22968,"2022-11-20 17:59:24.000000",0,0
5,FacebookAIResearch,1977,22968,"2022-11-20 17:59:24.000000",0,0
6,Google,633,22968,"2022-11-20 17:59:24.000000",1,0
7,"Hoofs&Horns,INC",226,22968,"2022-11-20 17:59:24.000000",0,0
8,Intel,256,22968,"2022-11-20 17:59:24.000000",0,0
9,"MIT CSAIL",455,22968,"2022-11-20 17:59:24.000000",0,0
10,NVIDIA,1487,22968,"2022-11-20 17:59:24.000000",0,0
11,ONNX,292,22968,"2022-11-20 17:59:24.000000",0,0
12,Pytorch,775,22968,"2022-11-20 17:59:24.000000",0,0
13,Quansight,1666,22968,"2022-11-20 17:59:24.000000",1,0
14,84.51°,228,9181,"2022-11-20 18:06:10.000000",0,1
15,DLR,111,9181,"2022-11-20 18:06:10.000000",0,1
16,Google,154,9181,"2022-11-20 18:06:10.000000",1,1
17,"HCA Healthcare",89,9181,"2022-11-20 18:06:10.000000",0,1
18,Innobi,247,9181,"2022-11-20 18:06:10.000000",0,1
19,Microsoft,691,9181,"2022-11-20 18:06:10.000000",0,1
20,"Palantir Technologies",74,9181,"2022-11-20 18:06:10.000000",0,1
21,PandasDev,99,9181,"2022-11-20 18:06:10.000000",0,1
22,Pythomation,62,9181,"2022-11-20 18:06:10.000000",0,1
23,"RAPIDS AI",808,9181,"2022-11-20 18:06:10.000000",0,1
24,"Tubi TV",245,9181,"2022-11-20 18:06:10.000000",0,1
25,"Voltron Data",3902,9181,"2022-11-20 18:06:10.000000",0,1
26,Quansight,187,9181,"2022-11-20 18:06:10.000000",1,1
27,WashingtonUniversityinStLouis,134,9181,"2022-11-20 18:06:10.000000",0,1
