id,company,count,total,update_time,duplicate,flag
1,Microsoft,94,763,"2022-11-20 17:59:24.000000",0,0
2,Facebook,209,763,"2022-11-20 17:59:24.000000",0,0
3,Quansight,91,763,"2022-11-20 17:59:24.000000",0,0
4,Pytorch,49,763,"2022-11-20 17:59:24.000000",0,0
5,Meta,29,763,"2022-11-20 17:59:24.000000",0,0
6,FacebookAI,101,763,"2022-11-20 17:59:24.000000",0,0
7,GoogleLLC,15,763,"2022-11-20 17:59:24.000000",0,0
8,NVIDIA,25,763,"2022-11-20 17:59:24.000000",0,0
9,Intel,12,763,"2022-11-20 17:59:24.000000",0,0
10,"Hoofs&Horns,INC",23,763,"2022-11-20 17:59:24.000000",0,0
11,84.51°,4,69,"2022-11-20 18:06:10.000000",0,1
12,"Factored AI",3,69,"2022-11-20 18:06:10.000000",0,1
13,Farfetch,3,69,"2022-11-20 18:06:10.000000",0,1
14,PandasDev,3,69,"2022-11-20 18:06:10.000000",0,1
15,"Voltron Data",5,69,"2022-11-20 18:06:10.000000",0,1
16,Zonos,3,69,"2022-11-20 18:06:10.000000",0,1
17,Zyppio,4,69,"2022-11-20 18:06:10.000000",0,1
