time,issues
2016-10-01,1
2016-10-07,2
2016-11-13,3
2016-12-01,4
2017-01-02,5
2017-01-18,6
2017-01-19,7
2017-01-29,9
2017-02-09,10
2017-02-22,11
2017-02-24,12
2017-03-06,13
2017-03-20,14
2017-04-03,15
2017-04-12,16
2017-04-18,17
2017-04-19,18
2017-04-22,20
2017-04-26,23
2017-04-30,24
2017-05-02,25
2017-05-03,26
2017-05-04,27
2017-05-05,29
2017-05-07,30
2017-05-08,31
2017-05-10,32
2017-05-19,33
2017-05-24,35
2017-05-30,36
2017-06-06,37
2017-06-07,39
2017-06-13,40
2017-06-21,41
2017-06-28,43
2017-07-03,44
2017-07-07,45
2017-07-17,46
2017-07-21,47
2017-08-07,48
2017-08-13,49
2017-08-14,50
2017-08-17,52
2017-08-18,53
2017-08-22,54
2017-08-25,55
2017-08-27,56
2017-08-30,59
2017-09-05,61
2017-09-11,62
2017-09-12,63
2017-09-13,64
2017-09-14,66
2017-09-25,68
2017-10-03,69
2017-10-09,70
2017-10-11,71
2017-10-17,72
2017-10-19,73
2017-10-25,74
2017-10-27,75
2017-10-29,76
2017-10-30,77
2017-10-31,79
2017-11-01,80
2017-11-03,82
2017-11-07,83
2017-11-09,84
2017-11-10,86
2017-11-13,87
2017-11-14,88
2017-11-20,90
2017-11-21,91
2017-11-22,92
2017-11-24,93
2017-11-25,95
2017-11-27,97
2017-11-28,101
2017-12-01,102
2017-12-03,104
2017-12-05,105
2017-12-07,106
2017-12-08,107
2017-12-10,108
2017-12-11,110
2017-12-12,112
2017-12-13,115
2017-12-14,116
2017-12-15,117
2017-12-18,118
2017-12-19,119
2017-12-23,120
2017-12-27,121
2017-12-28,122
2017-12-29,124
2018-01-02,125
2018-01-04,126
2018-01-05,127
2018-01-08,129
2018-01-09,131
2018-01-10,132
2018-01-12,135
2018-01-14,136
2018-01-17,137
2018-01-18,139
2018-01-20,140
2018-01-24,142
2018-01-29,143
2018-01-30,146
2018-01-31,149
2018-02-01,150
2018-02-02,151
2018-02-05,152
2018-02-06,153
2018-02-07,155
2018-02-09,158
2018-02-13,159
2018-02-14,160
2018-02-15,161
2018-02-16,162
2018-02-17,163
2018-02-21,164
2018-02-22,165
2018-02-23,167
2018-02-27,169
2018-03-01,170
2018-03-02,172
2018-03-05,174
2018-03-13,176
2018-03-14,177
2018-03-17,178
2018-03-20,180
2018-03-21,181
2018-03-23,182
2018-03-26,184
2018-03-28,186
2018-03-29,187
2018-03-30,189
2018-04-01,190
2018-04-04,193
2018-04-05,194
2018-04-06,196
2018-04-08,198
2018-04-09,203
2018-04-10,204
2018-04-11,206
2018-04-12,210
2018-04-13,211
2018-04-15,212
2018-04-16,213
2018-04-17,216
2018-04-19,219
2018-04-20,220
2018-04-22,222
2018-04-23,226
2018-04-24,229
2018-04-25,230
2018-04-26,232
2018-04-27,238
2018-04-28,240
2018-04-29,241
2018-05-01,243
2018-05-02,245
2018-05-03,248
2018-05-04,249
2018-05-05,250
