id,company,count,total,update_time
1,84.51°,228,9020,"2022-11-03 16:41:44.000000"
2,DLR,111,9020,"2022-11-03 16:41:44.000000"
3,Google,154,9020,"2022-11-03 16:41:44.000000"
4,"HCA Healthcare",89,9020,"2022-11-03 16:41:44.000000"
5,Innobi,247,9020,"2022-11-03 16:41:44.000000"
6,Microsoft,691,9020,"2022-11-03 16:41:44.000000"
7,"Palantir Technologies",74,9020,"2022-11-03 16:41:44.000000"
8,PandasDev,99,9020,"2022-11-03 16:41:44.000000"
9,Pythomation,62,9020,"2022-11-03 16:41:44.000000"
10,"RAPIDS AI",808,9020,"2022-11-03 16:41:44.000000"
11,"Tubi TV",245,9020,"2022-11-03 16:41:44.000000"
12,"Voltron Data",3741,9020,"2022-11-03 16:41:44.000000"
13,Quansight,187,9020,"2022-11-03 16:41:44.000000"
14,WashingtonUniversityinStLouis,134,9020,"2022-11-03 16:41:44.000000"
