id,created_at,updated_at,closed_at,comment_cnt,title
4485088,"2012-05-09 01:30:56.000000","2022-10-13 00:14:35.000000",NULL,2,""cumplyr"-like functionality"
4647887,"2012-05-18 19:21:24.000000","2022-10-13 00:14:35.000000",NULL,3,"Vectorized "crossing" computation"
5787008,"2012-07-23 19:36:57.000000","2022-10-13 00:14:36.000000",NULL,0,""Memoize" computations with hash table in pandas.core.strings"
6905106,"2012-09-16 18:44:46.000000","2022-10-13 00:14:39.000000",NULL,12,"Using pandas.TimeSeries_DateFormatter in bar plot?"
7737987,"2012-10-20 14:21:51.000000","2022-10-13 00:14:41.000000",NULL,1,"Feature request: hierarchical axes labels on bar charts"
7903709,"2012-10-26 21:09:01.000000","2022-10-13 00:14:42.000000",NULL,2,"how to specify more flexible boundaries for fillna"
7913009,"2012-10-27 18:21:40.000000","2022-10-13 00:14:42.000000",NULL,7,"ENH: add level kw to .between_time,  at_time, asfreq"
8470044,"2012-11-19 14:15:50.000000","2022-10-13 00:14:43.000000",NULL,5,"Add "day of month" (e.g., 15th of month) frequencies, easier extension?"
8530956,"2012-11-21 04:37:15.000000","2022-10-13 00:14:43.000000",NULL,0,"Strategies for semiannual frequency data"
9209763,"2012-12-12 09:05:45.000000","2022-10-13 00:14:45.000000",NULL,1,"pivot tables should provide "weighted" statistics"
9259593,"2012-12-13 17:37:44.000000","2022-10-13 00:14:45.000000",NULL,3,"More flexible binning/aggregation of time series data"
9418345,"2012-12-19 23:12:36.000000","2022-10-13 00:16:54.000000",NULL,18,"read_csv() force numeric dtype on column and set unparseable entry as missing (NaN)"
9487623,"2012-12-22 23:57:52.000000","2022-12-17 16:32:18.000000",NULL,21,"BUG: add date_format to read_csv / Date parsing mistake. read_csv"
9799777,"2013-01-09 10:37:45.000000","2022-10-13 00:15:38.000000",NULL,9,"Incorrect resampling from hourly to monthly values"
10058188,"2013-01-17 13:26:47.000000","2022-10-13 00:14:48.000000",NULL,5,"closed='both' option for resample"
10215730,"2013-01-23 00:06:26.000000","2022-10-13 00:14:48.000000",NULL,13,"DataFrame.copy(), at least, should be threadsafe"
11929568,"2013-03-12 15:32:24.000000","2022-10-13 00:14:52.000000",NULL,5,"CLN: move update to BlockManager method (and just call from frame)"
15472203,"2013-06-12 20:29:41.000000","2022-10-13 00:15:41.000000",NULL,13,"DOC: Timings/space of datatypes in the docs"
15610439,"2013-06-16 20:48:56.000000","2022-10-13 00:14:57.000000",NULL,3,"DOC: Series type int to float upcasting on an apply"
15958901,"2013-06-25 02:53:55.000000","2022-10-13 00:14:58.000000",NULL,25,"API: decide what to return from plotting functions"
16009461,"2013-06-26 00:22:06.000000","2022-10-13 00:15:41.000000",NULL,15,"Partial Selection on MultiIndex: The need for empty slice support & dict indexing"
16097994,"2013-06-27 16:02:49.000000","2022-10-13 00:14:58.000000",NULL,5,"API for splitting pandas objects"
16175916,"2013-06-29 15:05:00.000000","2022-10-13 00:14:58.000000",NULL,14,"DOC/WIP: doc page for the layout of the internals of pandas"
16212879,"2013-07-01 13:00:04.000000","2022-10-26 20:32:43.000000",NULL,6,"BUG: update should try harder to preserve dtypes"
16402441,"2013-07-05 13:08:56.000000","2022-10-13 00:14:59.000000",NULL,2,"Non-Reducing Return Values in Rolling .apply"
16430391,"2013-07-06 12:37:58.000000","2022-10-13 00:15:41.000000",NULL,26,"BUG: min on non-numeric data with nans"
16471993,"2013-07-08 13:52:55.000000","2022-10-13 00:16:15.000000",NULL,25,"ENH/BUG: Rename of MultiIndex DataFrames does not work"
16882854,"2013-07-17 19:06:40.000000","2022-10-13 00:14:59.000000",NULL,5,"BUG/ENH: should idxmax/idxmin work on object types?"
17307559,"2013-07-28 05:43:36.000000","2022-10-13 00:15:00.000000",NULL,2,"Make bar plot on secondary axis, the line plot on the primary axis wont show."
17586776,"2013-08-02 23:16:39.000000","2022-10-13 00:15:42.000000",NULL,22,"ENH: allow column oriented table storage in HDFStore"
17639322,"2013-08-05 15:04:16.000000","2022-10-13 00:15:01.000000",NULL,37,"ER: compound dtypes - DataFrame constructor/astype"
17694636,"2013-08-06 14:57:15.000000","2022-10-13 00:15:01.000000",NULL,42,"Add set operations to Series objects"
17785745,"2013-08-08 03:03:05.000000","2022-10-13 00:15:01.000000",NULL,0,"Provide more intelligent way of setting skipfooter in read_csv"
17813944,"2013-08-08 15:48:55.000000","2022-10-13 00:15:43.000000",NULL,7,"column-wise fillna with Series/dict NotImplemented"
18209374,"2013-08-18 15:59:22.000000","2022-10-13 00:15:02.000000",NULL,6,"Give the merge copy parameter better documentation"
18494043,"2013-08-23 21:39:42.000000","2022-10-13 00:15:03.000000",NULL,0,"API: add sort keyword to resample (like in groupby) to not sort data to the function"
18550177,"2013-08-26 13:59:28.000000","2022-10-13 00:15:05.000000",NULL,40,"ENH: Add decimal parameter to to_numeric"
18627696,"2013-08-27 19:11:12.000000","2022-10-13 00:15:06.000000",NULL,11,"string getitem methods are slow"
