update_date,cnt
2015/04/17,1
2015/05/22,1
2016/02/05,1
2016/03/29,1
2016/05/11,1
2016/07/18,1
2016/08/25,1
2016/08/29,1
2016/10/04,1
2016/11/26,1
2016/11/30,1
2016/12/02,1
2017/02/05,1
2017/04/20,1
2017/05/31,1
2017/06/08,1
2017/07/19,2
2017/10/05,1
2017/10/08,1
2017/11/04,1
2017/11/24,1
2017/11/26,1
2017/12/15,1
2017/12/30,1
2018/01/19,1
2018/02/20,1
2018/03/11,1
2018/03/15,2
2018/03/27,1
2018/04/15,1
2018/05/10,1
2018/05/21,1
2018/05/22,1
2018/06/08,1
2018/06/21,1
2018/06/28,1
2018/08/16,1
2018/08/18,1
2018/09/06,1
2018/09/09,1
2018/09/19,1
2018/10/03,1
2018/10/04,1
2018/10/19,1
2018/11/07,1
2018/11/13,1
2018/11/15,2
2018/11/23,1
2018/11/30,1
2018/12/10,1
2019/01/13,9
2019/01/22,1
2019/01/24,1
2019/01/25,1
2019/01/28,1
2019/03/08,1
2019/03/22,1
2019/04/16,1
2019/04/29,1
2019/05/16,1
2019/06/05,2
2019/06/20,1
2019/06/24,1
2019/07/10,1
2019/07/16,2
2019/07/22,2
2019/07/23,2
2019/08/22,1
2019/08/25,1
2019/08/26,1
2019/09/09,1
2019/09/11,2
2019/09/12,1
2019/09/16,1
2019/09/22,1
2019/10/03,1
2019/10/10,1
2019/10/16,3
2019/10/21,4
2019/10/22,4
2019/10/26,1
2019/10/27,3
2019/10/28,1
2019/11/01,1
2019/11/02,6
2019/12/01,4
2019/12/10,1
2019/12/11,4
2019/12/16,1
2019/12/21,1
2019/12/28,1
2019/12/29,1
2020/01/10,1
2020/01/21,1
2020/01/31,1
2020/02/02,1
2020/02/05,1
2020/02/13,2
2020/02/18,1
2020/02/25,6
2020/02/29,1
2020/03/05,1
2020/03/08,1
2020/03/12,2
2020/03/13,1
2020/03/24,1
2020/03/27,1
2020/03/31,3
2020/04/01,11
2020/04/02,6
2020/04/03,7
2020/04/05,9
2020/04/06,1
2020/04/08,1
2020/04/10,4
2020/04/14,3
2020/04/19,7
2020/04/20,2
2020/04/25,6
2020/04/26,10
2020/04/27,5
2020/04/28,2
2020/04/29,1
2020/04/30,3
2020/05/02,6
2020/05/03,6
2020/05/05,1
2020/05/07,12
2020/05/08,9
2020/05/11,9
2020/05/13,6
2020/05/16,30
2020/05/17,1
2020/05/18,1
2020/05/20,2
2020/05/21,2
2020/05/22,7
2020/05/25,2
2020/05/26,4
2020/05/28,2
2020/05/29,1
2020/05/30,1
2020/05/31,2
2020/06/01,1
2020/06/02,1
2020/06/05,11
2020/06/06,1
2020/06/07,2
2020/06/08,2
2020/06/10,1
2020/06/15,2
2020/06/16,2
2020/06/17,3
2020/06/19,1
2020/06/24,1
2020/06/25,1
2020/06/26,1
2020/06/28,16
2020/06/29,1
2020/07/04,1
2020/07/08,1
2020/07/13,2
2020/07/15,2
2020/07/18,1
2020/07/21,1
2020/08/02,1
2020/08/03,1
2020/08/06,1
2020/08/15,1
2020/08/19,1
2020/09/01,2
2020/09/02,6
2020/09/03,3
2020/09/04,6
2020/09/05,2
2020/09/06,1
2020/09/07,3
2020/09/09,1
2020/09/10,3
2020/09/14,1
2020/09/16,1
2020/09/17,2
2020/09/20,1
2020/09/21,8
2020/09/22,14
2020/09/23,4
2020/09/27,1
2020/10/03,1
2020/10/05,1
2020/10/06,2
2020/10/09,1
2020/10/10,1
2020/10/11,2
2020/10/13,2
2020/10/15,1
2020/10/16,3
2020/10/19,2
2020/10/21,1
2020/10/25,1
2020/10/30,1
2020/11/04,1
2020/11/06,2
2020/11/07,1
2020/11/09,1
2020/11/11,1
2020/11/12,1
2020/11/14,1
2020/11/18,1
2020/11/20,1
2020/11/23,1
2020/11/26,2
2020/11/27,1
2020/11/28,1
2020/11/30,1
2020/12/05,2
2020/12/07,1
2020/12/09,2
2020/12/12,1
2020/12/15,1
2020/12/16,1
2020/12/17,1
2020/12/23,1
2020/12/29,2
2021/01/02,1
2021/01/14,1
2021/01/16,2
2021/01/19,1
2021/01/26,1
2021/01/27,1
2021/01/28,1
2021/01/29,1
2021/02/01,1
2021/02/03,2
2021/02/05,2
2021/02/07,1
2021/02/11,2
2021/02/17,1
