id,company,count,total,update_time
1,Amazon,37,11057,"2022-11-02 19:54:36.000000"
2,Google,110,11057,"2022-11-02 19:54:36.000000"
3,Facebook,47,11057,"2022-11-02 19:54:36.000000"
4,Alibaba,43,11057,"2022-11-02 19:54:36.000000"
5,ByteDance,38,11057,"2022-11-02 19:54:36.000000"
6,Tencent,32,11057,"2022-11-02 19:54:36.000000"
7,IBM,27,11057,"2022-11-02 19:54:36.000000"
8,PekingUniversity,18,11057,"2022-11-02 19:54:36.000000"
9,Baidu,14,11057,"2022-11-02 19:54:36.000000"
10,Intel,15,11057,"2022-11-02 19:54:36.000000"
11,Meta,14,11057,"2022-11-02 19:54:36.000000"
12,Nubank,23,11057,"2022-11-02 19:54:36.000000"
13,VMware,14,11057,"2022-11-02 19:54:36.000000"
14,ZhejiangUniversity,15,11057,"2022-11-02 19:54:36.000000"
