id,created_at,updated_at,closed_at,comment_cnt,title
180481412,"2016-10-01 21:30:04.000000","2022-03-01 17:08:38.000000",NULL,3,"expose backend selection and cudnn settings to the end user"
181554695,"2016-10-07 00:05:21.000000","2022-03-01 17:08:40.000000",NULL,2,"Add performance and accuracy regression testing nightlies"
189001054,"2016-11-13 22:47:33.000000","2022-03-01 17:08:40.000000",NULL,5,"missing tensor constructors"
192983382,"2016-12-01 22:42:55.000000","2022-03-01 23:47:49.000000",NULL,1,"Keyword arguments passed to module's __call__ aren't forwarded to the hooks"
198358105,"2017-01-02 16:41:17.000000","2022-03-01 17:08:41.000000",NULL,10,"Return namedtuples from torch.* function with multiple return arguments"
201488188,"2017-01-18 06:10:37.000000","2022-03-01 17:08:43.000000",NULL,4,"Autograd IndexCopy is broken"
201821673,"2017-01-19 10:36:23.000000","2022-12-07 20:03:28.000000",NULL,18,"Feature Request: Locally Connected Layer"
203853311,"2017-01-29 06:14:27.000000","2022-03-01 17:08:43.000000",NULL,18,"Add Peephole connections for LSTMs?"
203886342,"2017-01-29 18:30:26.000000","2022-07-26 04:14:39.000000",NULL,11,"Feature Request: NegativeSampling and HierarchicalSoftmax loss functions"
206652810,"2017-02-09 22:45:17.000000","2022-03-01 17:08:45.000000",NULL,32,"Feature Request: Easier to extend base RNN implementation"
209617734,"2017-02-22 23:42:02.000000","2022-03-01 18:02:41.000000",NULL,11,"Automatic batching?"
210145448,"2017-02-24 20:06:48.000000","2022-03-01 18:02:40.000000",NULL,4,"BCELoss doesn't accept LongTensor targets"
212033602,"2017-03-06 06:20:39.000000","2022-03-23 20:05:35.000000",NULL,2,"dataloader parallels over elements vs over batches"
215512876,"2017-03-20 18:25:02.000000","2022-03-01 19:03:03.000000",NULL,9,"DataParallel does not correctly handle running variables in batch norm"
218963108,"2017-04-03 15:03:12.000000","2022-03-01 21:02:45.000000",NULL,5,"Batched sparse QR factorizations and solves with cusolver"
221404914,"2017-04-12 22:11:03.000000","2022-03-02 02:22:05.000000",NULL,47,"Dice Loss PR"
