id,company,count,total,update_time,duplicate,flag
1,Microsoft,252,13569,"2022-11-20 17:08:20.000000",0,0
2,Google,204,13569,"2022-11-20 17:08:20.000000",1,0
3,Facebook,184,13569,"2022-11-20 17:08:20.000000",1,0
4,Alibaba,147,13569,"2022-11-20 17:08:20.000000",1,0
5,ByteDance,129,13569,"2022-11-20 17:08:20.000000",1,0
6,Tencent,127,13569,"2022-11-20 17:08:20.000000",1,0
7,TsinghuaUniversity,122,13569,"2022-11-20 17:08:20.000000",0,0
8,PekingUniversity,88,13569,"2022-11-20 17:08:20.000000",1,0
9,Baidu,87,13569,"2022-11-20 17:08:20.000000",1,0
10,NVIDIA,86,13569,"2022-11-20 17:08:20.000000",0,0
11,ZhejiangUniversity,85,13569,"2022-11-20 17:08:20.000000",1,0
12,Amazon,38,11104,"2022-11-20 18:06:10.000000",0,1
13,Google,110,11104,"2022-11-20 18:06:10.000000",1,1
14,Facebook,47,11104,"2022-11-20 18:06:10.000000",1,1
15,Alibaba,43,11104,"2022-11-20 18:06:10.000000",1,1
16,ByteDance,38,11104,"2022-11-20 18:06:10.000000",1,1
17,Tencent,32,11104,"2022-11-20 18:06:10.000000",1,1
18,IBM,27,11104,"2022-11-20 18:06:10.000000",0,1
19,PekingUniversity,18,11104,"2022-11-20 18:06:10.000000",1,1
20,Baidu,14,11104,"2022-11-20 18:06:10.000000",1,1
21,Intel,15,11104,"2022-11-20 18:06:10.000000",0,1
22,Meta,14,11104,"2022-11-20 18:06:10.000000",0,1
23,Nubank,23,11104,"2022-11-20 18:06:10.000000",0,1
24,VMware,14,11104,"2022-11-20 18:06:10.000000",0,1
25,ZhejiangUniversity,15,11104,"2022-11-20 18:06:10.000000",1,1
