time,issues
2012-05-09,1
2012-05-18,2
2012-07-23,3
2012-09-16,4
2012-10-20,5
2012-10-26,6
2012-10-27,7
2012-11-19,8
2012-11-21,9
2012-12-12,10
2012-12-13,11
2012-12-19,12
2012-12-22,13
2013-01-09,14
2013-01-17,15
2013-01-23,16
2013-03-12,17
2013-06-12,18
2013-06-16,19
2013-06-25,20
2013-06-26,21
2013-06-27,22
2013-06-29,23
2013-07-01,24
2013-07-05,25
2013-07-06,26
2013-07-08,27
2013-07-17,28
2013-07-28,29
2013-08-02,30
2013-08-05,31
2013-08-06,32
2013-08-08,34
2013-08-18,35
2013-08-23,36
2013-08-26,37
2013-08-27,38
2013-09-02,39
2013-09-03,40
2013-09-13,41
2013-09-19,42
2013-09-20,45
2013-09-30,47
2013-10-02,49
2013-10-09,50
2013-10-28,51
2013-10-30,52
2013-11-05,53
2013-11-10,54
2013-11-18,55
2013-11-20,56
2013-12-05,57
2013-12-09,59
2014-01-02,60
2014-01-11,61
2014-01-13,62
2014-01-14,64
2014-01-23,65
2014-01-31,66
2014-02-03,67
2014-02-16,68
2014-02-19,69
2014-02-26,70
2014-02-28,72
2014-03-05,73
2014-03-06,74
2014-03-13,75
2014-03-19,76
2014-03-20,77
2014-03-24,78
2014-03-25,79
2014-03-26,80
2014-04-02,81
2014-04-04,83
2014-04-07,85
2014-04-10,87
2014-04-16,88
2014-04-17,90
2014-04-23,92
2014-05-01,94
2014-05-05,96
2014-05-06,97
2014-05-08,98
2014-05-14,99
2014-05-17,100
2014-05-27,101
2014-05-28,103
2014-06-02,104
2014-06-06,106
2014-06-09,107
2014-06-10,108
2014-06-12,109
2014-06-13,110
2014-06-14,111
2014-06-16,112
2014-07-13,113
2014-07-24,114
2014-07-30,115
2014-08-01,116
2014-08-07,117
2014-08-08,118
2014-08-11,120
2014-08-29,121
2014-09-02,123
2014-09-05,124
2014-09-17,125
2014-09-19,126
2014-09-25,127
2014-10-01,128
2014-10-09,129
2014-10-12,130
2014-10-15,131
2014-10-17,132
2014-10-21,133
2014-11-02,135
2014-11-03,136
2014-11-06,137
2014-11-07,138
2014-11-09,139
2014-11-10,140
2014-11-12,141
2014-11-13,143
2014-11-14,145
2014-11-16,146
2014-11-18,147
2014-11-22,148
2014-11-24,150
2014-11-25,151
2014-11-26,152
2014-11-27,154
2014-12-01,155
2014-12-02,156
2014-12-04,157
2014-12-07,158
2014-12-08,159
2014-12-09,160
2014-12-11,161
2014-12-15,162
2014-12-18,163
2014-12-29,164
2015-01-08,166
2015-01-09,167
2015-01-14,168
2015-01-15,170
2015-01-16,172
2015-01-19,173
2015-01-20,174
2015-01-21,175
2015-01-22,176
2015-01-28,177
2015-01-30,178
2015-02-02,179
2015-02-03,180
2015-02-09,184
2015-02-11,185
2015-02-14,186
2015-02-17,188
2015-02-18,190
2015-02-19,192
2015-02-20,193
2015-02-22,194
2015-02-24,196
2015-03-03,197
2015-03-04,201
2015-03-05,202
2015-03-06,203
2015-03-07,204
2015-03-13,205
2015-03-20,206
2015-03-23,208
2015-03-25,211
2015-03-29,212
2015-03-31,214
2015-04-05,215
2015-04-06,217
2015-04-09,218
2015-04-13,219
2015-04-15,220
2015-04-17,221
2015-04-19,222
2015-04-21,223
2015-04-22,224
2015-04-24,225
2015-04-29,227
2015-04-30,229
2015-05-09,230
2015-05-12,231
2015-05-13,232
2015-05-18,233
2015-05-20,234
2015-05-21,236
2015-05-27,237
2015-05-30,238
2015-06-03,239
2015-06-04,240
2015-06-08,242
2015-06-13,244
2015-06-17,245
2015-06-23,246
2015-06-25,247
2015-06-26,249
2015-06-28,250
2015-07-01,251
2015-07-02,252
2015-07-09,254
2015-07-10,255
2015-07-11,256
2015-07-12,258
2015-07-15,262
2015-07-17,263
2015-07-18,264
2015-07-20,265
2015-07-28,266
2015-07-29,267
2015-08-01,269
2015-08-02,270
2015-08-03,273
2015-08-05,274
2015-08-06,275
2015-08-07,276
2015-08-08,277
2015-08-10,278
2015-08-11,281
2015-08-13,282
2015-08-24,283
2015-08-25,284
2015-08-31,285
2015-09-03,286
2015-09-08,287
2015-09-09,288
2015-09-10,291
2015-09-12,292
2015-09-15,294
2015-09-16,295
2015-09-22,296
2015-09-29,297
2015-10-03,298
2015-10-04,299
2015-10-06,300
2015-10-07,301
2015-10-10,302
2015-10-12,303
2015-10-13,304
2015-10-15,305
2015-10-17,307
2015-10-19,309
2015-10-22,310
2015-10-24,311
2015-10-25,312
2015-10-26,313
2015-10-27,314
2015-10-29,316
2015-10-30,317
2015-11-05,318
2015-11-07,319
2015-11-08,320
2015-11-09,321
2015-11-10,322
2015-11-11,323
2015-11-12,325
2015-11-23,326
2015-11-24,327
2015-11-25,328
2015-11-29,329
2015-11-30,331
2015-12-02,332
2015-12-09,333
2015-12-10,334
2015-12-11,335
2015-12-18,337
2015-12-23,338
2015-12-24,339
2016-01-01,340
2016-01-04,341
2016-01-07,342
2016-01-15,343
2016-01-16,344
2016-01-17,345
2016-01-19,346
2016-01-26,348
2016-01-27,349
2016-01-31,351
2016-02-02,352
2016-02-03,353
2016-02-05,354
2016-02-08,356
2016-02-09,357
2016-02-10,359
2016-02-13,360
2016-02-16,365
2016-02-17,366
2016-02-18,368
2016-02-23,370
2016-02-26,374
2016-03-01,375
2016-03-02,376
2016-03-03,377
2016-03-05,378
2016-03-07,379
2016-03-08,380
2016-03-16,382
2016-03-18,383
2016-03-22,387
2016-03-24,388
2016-03-28,389
2016-03-31,390
2016-04-06,391
2016-04-08,394
2016-04-11,397
2016-04-12,398
2016-04-13,399
2016-04-21,400
2016-04-22,402
2016-04-26,405
2016-04-28,407
2016-04-30,408
2016-05-01,409
2016-05-05,411
2016-05-06,412
2016-05-11,413
2016-05-12,415
2016-05-16,417
2016-05-23,418
2016-05-25,419
2016-05-26,420
2016-06-02,421
2016-06-04,422
2016-06-05,423
2016-06-08,424
2016-06-09,426
2016-06-13,427
2016-06-14,428
2016-06-15,429
2016-06-16,431
2016-06-17,432
2016-06-19,433
2016-06-20,434
2016-06-26,435
2016-07-01,436
2016-07-13,438
2016-07-14,440
2016-07-22,441
2016-07-26,442
2016-07-27,443
2016-07-28,444
2016-08-01,445
2016-08-05,448
2016-08-07,449
2016-08-08,451
2016-08-09,453
2016-08-10,454
2016-08-11,455
2016-08-13,457
2016-08-16,459
2016-08-22,460
2016-08-23,463
2016-08-24,465
2016-08-27,466
2016-08-31,469
2016-09-04,470
2016-09-06,471
2016-09-07,472
2016-09-13,473
2016-09-16,474
2016-09-19,476
2016-09-21,477
2016-09-22,478
2016-09-23,479
2016-09-25,480
2016-09-28,481
2016-09-29,482
2016-10-05,483
2016-10-06,484
2016-10-12,485
2016-10-20,486
2016-10-24,488
2016-10-25,489
2016-10-26,490
2016-10-27,491
2016-11-01,492
2016-11-02,493
2016-11-03,494
2016-11-07,496
2016-11-08,497
2016-11-09,499
2016-11-14,500
2016-11-16,501
2016-11-21,502
2016-11-25,503
2016-11-30,505
2016-12-03,506
2016-12-08,508
2016-12-12,509
2016-12-15,510
2016-12-21,511
2016-12-22,512
2016-12-29,513
2016-12-31,514
2017-01-03,515
2017-01-04,516
2017-01-05,521
2017-01-06,522
2017-01-11,523
2017-01-15,524
2017-01-22,525
2017-01-23,526
2017-01-25,529
2017-01-28,530
2017-01-30,531
2017-01-31,532
2017-02-01,533
2017-02-02,534
2017-02-03,536
2017-02-04,537
2017-02-05,539
2017-02-06,540
2017-02-07,541
2017-02-09,542
2017-02-10,543
2017-02-13,544
2017-02-14,548
2017-02-17,549
2017-02-22,550
2017-02-23,551
2017-02-27,552
2017-02-28,553
2017-03-02,554
2017-03-03,556
2017-03-05,557
2017-03-06,558
2017-03-07,559
2017-03-08,560
2017-03-09,561
2017-03-12,562
2017-03-13,564
2017-03-14,566
2017-03-15,568
2017-03-16,569
2017-03-17,570
2017-03-20,572
2017-03-21,573
2017-03-27,574
2017-03-28,575
2017-03-29,577
2017-04-03,578
2017-04-05,580
2017-04-06,582
2017-04-07,584
2017-04-10,585
2017-04-12,586
2017-04-15,587
2017-04-16,588
2017-04-20,591
2017-04-21,592
2017-04-22,594
2017-04-24,596
2017-04-26,597
2017-04-27,598
2017-04-29,599
2017-05-03,600
2017-05-05,601
2017-05-06,602
2017-05-08,605
2017-05-09,608
2017-05-11,609
2017-05-12,610
2017-05-15,611
2017-05-16,613
2017-05-17,614
2017-05-18,615
2017-05-20,619
2017-05-22,621
2017-05-23,625
2017-05-24,627
2017-05-25,628
2017-05-29,629
2017-05-30,630
2017-05-31,633
2017-06-01,634
2017-06-02,636
2017-06-06,637
2017-06-07,639
2017-06-08,640
2017-06-12,642
2017-06-16,643
2017-06-17,644
2017-06-20,645
2017-06-21,646
2017-06-22,647
2017-06-29,648
2017-06-30,649
2017-07-01,650
2017-07-05,651
2017-07-06,652
2017-07-07,653
2017-07-09,654
2017-07-10,656
2017-07-13,657
2017-07-15,658
2017-07-17,659
2017-07-18,661
2017-07-19,666
2017-07-20,667
2017-07-27,669
2017-07-29,670
2017-07-30,671
2017-07-31,673
2017-08-01,674
2017-08-02,675
2017-08-03,676
2017-08-08,677
2017-08-10,680
2017-08-11,681
2017-08-14,683
2017-08-15,685
2017-08-16,687
2017-08-18,688
2017-08-22,689
2017-08-24,690
2017-08-27,691
2017-08-29,693
2017-08-31,694
2017-09-01,695
2017-09-03,696
2017-09-06,697
2017-09-07,698
2017-09-08,700
2017-09-10,701
2017-09-13,702
2017-09-15,704
2017-09-18,706
2017-09-23,707
2017-09-25,709
2017-09-29,712
2017-10-02,715
2017-10-04,718
2017-10-05,719
2017-10-06,721
2017-10-10,723
2017-10-13,725
2017-10-16,728
2017-10-20,730
2017-10-22,731
2017-10-24,732
2017-10-25,734
2017-10-27,737
2017-10-28,738
2017-10-29,739
2017-10-30,740
2017-11-01,741
2017-11-02,742
2017-11-04,743
2017-11-06,744
2017-11-08,745
2017-11-09,746
2017-11-10,747
2017-11-12,748
2017-11-14,750
2017-11-17,752
2017-11-18,754
2017-11-20,755
2017-11-21,757
2017-11-23,758
2017-11-24,761
2017-11-25,762
2017-11-28,763
2017-11-29,764
2017-11-30,765
2017-12-01,767
2017-12-04,768
2017-12-06,769
2017-12-07,770
2017-12-08,773
2017-12-09,774
2017-12-11,775
2017-12-12,776
2017-12-13,777
2017-12-14,779
2017-12-15,780
2017-12-18,781
2017-12-19,784
2017-12-20,786
2017-12-22,787
2017-12-24,788
2017-12-27,789
2017-12-28,791
2017-12-29,792
2017-12-30,793
2018-01-01,794
2018-01-04,795
2018-01-05,796
2018-01-06,799
2018-01-08,801
2018-01-09,803
2018-01-10,804
2018-01-15,805
2018-01-16,806
2018-01-17,810
2018-01-18,812
2018-01-22,813
2018-01-25,817
2018-01-28,818
2018-01-29,819
2018-01-30,821
2018-01-31,822
2018-02-01,823
2018-02-02,825
2018-02-05,826
2018-02-06,828
2018-02-07,830
2018-02-08,831
2018-02-09,832
2018-02-11,833
2018-02-12,834
2018-02-14,836
2018-02-15,840
2018-02-17,841
2018-02-18,842
2018-02-19,844
2018-02-20,848
2018-02-21,849
2018-02-22,850
